label,index,low,normal,winner,best_step,identity_best_step,selected_best_step,identity_final_mse,selected_final_mse,identity_updates,selected_updates,active_count,dark_active_count,reproduction_max_abs,grid_max_abs,seconds,ev_lower_active_count,ev_lower_all_count,ev_upper_active_count,ev_upper_all_count,ev_either_active_count,ev_either_all_count,gamma_lower_active_count,gamma_lower_all_count,gamma_upper_active_count,gamma_upper_all_count,gamma_either_active_count,gamma_either_all_count,raw_mse,raw_psnr,raw_ssim,selected_mse,selected_psnr,selected_ssim,oracle_mse,oracle_psnr,oracle_ssim,delta_psnr,delta_ssim
REFERENCE_ORACLE_ONLY,10,Train/Low/low00177.png,Train/Normal/normal00177.png,T022C_selected,500,500,500,0.10514281449140771,0.10509685317164177,500,500,4,4,0.0,0.0,11.959173260023817,0,0,0,0,0,0,4,4,0,0,4,4,0.18722252404254092,7.276419041078491,0.05943688083581653,0.1357830027517256,8.671545914188421,0.1947834124539577,0.10509685317164179,9.784102874984134,0.25215127951864885,1.1125569607957129,0.05736786706469116
REFERENCE_ORACLE_ONLY,11,Train/Low/low00542.png,Train/Normal/normal00542.png,T022C_selected,500,500,500,0.07205963410090636,0.07195437879345136,500,500,4,4,0.0,0.0,11.992486481030937,0,0,0,0,0,0,4,4,0,0,4,4,0.25178098246732006,5.989770761400385,0.133256225323828,0.1433170311096298,8.43702197059514,0.3858472489878187,0.07195437879345135,11.42942771873749,0.4773419026879247,2.9924057481423496,0.09149465370010601
REFERENCE_ORACLE_ONLY,12,Train/Low/low00592.png,Train/Normal/normal00592.png,T022C_selected,500,500,500,0.06512180423689116,0.06504778411840609,500,500,3,3,0.0,0.0,11.964705932943616,0,1,0,1,0,1,3,4,0,1,3,4,0.1476628236181513,8.307288312267225,0.24123625656006484,0.08679361323260419,10.6151223150425,0.4757280829316891,0.06504778411840607,11.867674932844082,0.48146810409738344,1.252552617801582,0.005740021165694331
REFERENCE_ORACLE_ONLY,13,Train/Low/low00184.png,Train/Normal/normal00184.png,T022C_selected,500,500,500,0.07711487965895898,0.07703747558321923,500,500,4,4,0.0,0.0,11.953809016034938,0,0,0,0,0,0,4,4,0,0,4,4,0.1837641023501259,7.35739322514076,0.10164020915940625,0.11324795109833101,9.45969646575512,0.29043679517446547,0.07703747558321922,11.132979569094895,0.33990325060661863,1.6732831033397737,0.04946645543215317
REFERENCE_ORACLE_ONLY,14,Train/Low/low00080.png,Train/Normal/normal00080.png,T022C_selected,500,500,500,0.02925983673992562,0.029074176699278115,500,500,4,4,0.0,0.0,11.975232703029178,0,0,0,0,0,0,4,4,0,0,4,4,0.27528898568789695,5.6021116438095255,0.22065302702760298,0.11569890837638991,9.366707386139089,0.5657696169523229,0.029074176699278118,15.364925744506886,0.6736775326786443,5.998218358367797,0.10790791572632141
REFERENCE_ORACLE_ONLY,15,Train/Low/low00501.png,Train/Normal/normal00501.png,T022C_selected,500,500,500,0.01878316458417566,0.018675902832577463,500,500,4,4,0.0,0.0,11.968948849011213,0,0,0,0,0,0,4,4,0,0,4,4,0.1461916842787011,8.350773303507005,0.1705303528937216,0.058881441881703286,12.300215635890348,0.5305850872930855,0.018675902832577463,17.287183942928063,0.6616377983609741,4.986968307037715,0.13105271106788863
REFERENCE_ORACLE_ONLY,16,Train/Low/low00133.png,Train/Normal/normal00133.png,T022C_selected,500,500,500,0.22909358005433259,0.22904829797094256,500,500,4,4,0.0,0.0,11.937989513971843,0,0,0,0,0,0,4,4,0,0,4,4,0.3180859060566678,4.974555734497576,0.026132485745239575,0.2676235099164477,5.724757377708015,0.08255626990579207,0.22904829797094267,6.400729310635099,0.11364631117969938,0.6759719329270837,0.031090041273907312
REFERENCE_ORACLE_ONLY,17,Train/Low/low00455.png,Train/Normal/normal00455.png,identity,7,7,14,0.07920213408301914,0.07920213408301914,500,500,4,0,0.0,0.0,11.881381538987625,0,0,4,4,4,4,4,4,0,0,4,4,0.0945582684720618,10.243004890845832,0.13014798542796818,0.10646987522525916,9.72773254893139,0.11956665729471598,0.0792021340830191,11.012631162893886,0.11687161807821521,1.2848986139624952,-0.002695039216500772
REFERENCE_ORACLE_ONLY,18,Train/Low/low00206.png,Train/Normal/normal00206.png,T022C_selected,361,496,361,0.0018615853586768064,0.0018615851799033017,500,500,4,4,0.0,0.0,11.828862970985938,0,0,0,0,0,0,4,4,0,0,4,4,0.10024972435193047,9.989168128484296,0.30858969199528347,0.017107310301580976,17.66818267081082,0.7132844827047597,0.0018615849886984834,27.301171317366357,0.7022094971269384,9.632988646555539,-0.011074985577821383
REFERENCE_ORACLE_ONLY,19,Train/Low/low00314.png,Train/Normal/normal00314.png,T022C_selected,227,217,227,0.04349057193545157,0.04349057193545157,500,500,4,2,0.0,0.0,11.850843101041391,0,0,2,2,2,2,4,4,0,0,4,4,0.08554106954738523,10.678253239222794,0.18427194394802734,0.06643170187497578,11.776246214792195,0.16397525105479163,0.04349057186462602,13.616048816881104,0.1596257926736179,1.8398026020889091,-0.004349458381173732
REFERENCE_ORACLE_ONLY,20,Train/Low/low00097.png,Train/Normal/normal00097.png,T022C_selected,500,500,500,0.05028358774819803,0.050243571139413724,500,500,4,4,0.0,0.0,11.733812220976688,0,0,0,0,0,0,4,4,0,0,4,4,0.12510764554120862,9.02716149020426,0.09933405381524278,0.08050288270598138,10.941885678198936,0.29858918720317074,0.05024357113941372,12.989195000227923,0.37456222955202184,2.047309322028987,0.0759730423488511
