image_id,split,condition,view,d_dark,d_bright,input_clipping_fraction,type,active
44260,evaluation,clean,bottom_left,-0.03929990530014038,-0.003444880247116089,8.680555765749887e-06,bright,False
44260,evaluation,clean,bottom_right,-0.04781255125999451,-0.038289591670036316,8.644537047075573e-06,bright,False
44260,evaluation,homogeneous_dark,full,-0.016276568174362183,-0.05130577087402344,0.0,dark,False
44260,evaluation,homogeneous_dark,top_left,0.011277452111244202,-0.024514615535736084,0.0,dark,False
44260,evaluation,homogeneous_dark,top_right,-0.013914108276367188,-0.05855342745780945,0.0,dark,False
44260,evaluation,homogeneous_dark,bottom_left,0.001370847225189209,-0.01772172749042511,0.0,dark,False
44260,evaluation,homogeneous_dark,bottom_right,-0.0006879866123199463,-0.042662397027015686,0.0,dark,False
44260,evaluation,homogeneous_bright,full,-0.07726024091243744,-0.02884790301322937,0.14185941219329834,bright,False
44260,evaluation,homogeneous_bright,top_left,-0.04823267459869385,-0.016368284821510315,0.09942708909511566,bright,False
44260,evaluation,homogeneous_bright,top_right,-0.08247120678424835,-0.046158358454704285,0.11724585294723511,bright,False
44260,evaluation,homogeneous_bright,bottom_left,-0.0435413122177124,0.02072042226791382,0.21372395753860474,bright,False
44260,evaluation,homogeneous_bright,bottom_right,-0.06615142524242401,-0.03261284530162811,0.13716286420822144,bright,False
44260,evaluation,left_right,full,-0.057513490319252014,-0.0559697151184082,0.06373440474271774,bright,False
44260,evaluation,left_right,top_left,0.011277452111244202,-0.024514615535736084,0.0,dark,False
44260,evaluation,left_right,top_right,-0.08247120678424835,-0.046158358454704285,0.11724585294723511,bright,False
44260,evaluation,left_right,bottom_left,0.001370847225189209,-0.01772172749042511,0.0,dark,False
44260,evaluation,left_right,bottom_right,-0.06615142524242401,-0.03261284530162811,0.13716286420822144,bright,False
44260,evaluation,quadrants,full,-0.05107799172401428,-0.02873365581035614,0.08269231021404266,bright,False
44260,evaluation,quadrants,top_left,0.011277452111244202,-0.024514615535736084,0.0,dark,False
44260,evaluation,quadrants,top_right,-0.08247120678424835,-0.046158358454704285,0.11724585294723511,bright,False
