image_id,condition,method_a,method_b,mse_a_minus_b
872,homogeneous_dark,identity,global_direct,0.05024532228708267
872,homogeneous_dark,identity,spatial2_direct,0.05024532228708267
872,homogeneous_dark,identity,global_discrete,0.08630317449569702
872,homogeneous_dark,identity,spatial2_discrete,0.0829176683910191
872,homogeneous_dark,identity,global_ttt,0.08743856381624937
872,homogeneous_dark,identity,spatial2_ttt,0.08827679173555225
872,homogeneous_dark,global_direct,spatial2_direct,0.0
872,homogeneous_dark,global_direct,global_discrete,0.03605785220861435
872,homogeneous_dark,global_direct,spatial2_discrete,0.032672346103936434
872,homogeneous_dark,global_direct,global_ttt,0.0371932415291667
872,homogeneous_dark,global_direct,spatial2_ttt,0.03803146944846958
872,homogeneous_dark,spatial2_direct,global_discrete,0.03605785220861435
872,homogeneous_dark,spatial2_direct,spatial2_discrete,0.032672346103936434
872,homogeneous_dark,spatial2_direct,global_ttt,0.0371932415291667
872,homogeneous_dark,spatial2_direct,spatial2_ttt,0.03803146944846958
872,homogeneous_dark,global_discrete,spatial2_discrete,-0.0033855061046779156
872,homogeneous_dark,global_discrete,global_ttt,0.001135389320552349
872,homogeneous_dark,global_discrete,spatial2_ttt,0.00197361723985523
872,homogeneous_dark,spatial2_discrete,global_ttt,0.004520895425230265
872,homogeneous_dark,spatial2_discrete,spatial2_ttt,0.005359123344533145
872,homogeneous_dark,global_ttt,spatial2_ttt,0.0008382279193028808
872,left_right,identity,global_direct,0.0013119354844093323
872,left_right,identity,spatial2_direct,0.029804788529872894
872,left_right,identity,global_discrete,0.0027534738183021545
872,left_right,identity,spatial2_discrete,0.033388588577508926
872,left_right,identity,global_ttt,0.023118097335100174
872,left_right,identity,spatial2_ttt,0.03877033293247223
872,left_right,global_direct,spatial2_direct,0.028492853045463562
872,left_right,global_direct,global_discrete,0.0014415383338928223
872,left_right,global_direct,spatial2_discrete,0.032076653093099594
872,left_right,global_direct,global_ttt,0.02180616185069084
872,left_right,global_direct,spatial2_ttt,0.0374583974480629
872,left_right,spatial2_direct,global_discrete,-0.02705131471157074
872,left_right,spatial2_direct,spatial2_discrete,0.003583800047636032
872,left_right,spatial2_direct,global_ttt,-0.00668669119477272
872,left_right,spatial2_direct,spatial2_ttt,0.008965544402599335
872,left_right,global_discrete,spatial2_discrete,0.030635114759206772
872,left_right,global_discrete,global_ttt,0.02036462351679802
872,left_right,global_discrete,spatial2_ttt,0.036016859114170074
872,left_right,spatial2_discrete,global_ttt,-0.010270491242408752
872,left_right,spatial2_discrete,spatial2_ttt,0.005381744354963303
872,left_right,global_ttt,spatial2_ttt,0.015652235597372055
872,quadrants,identity,global_direct,0.001508757472038269
872,quadrants,identity,spatial2_direct,0.023576557636260986
872,quadrants,identity,global_discrete,-0.004727251827716827
872,quadrants,identity,spatial2_discrete,0.009458940476179123
872,quadrants,identity,global_ttt,0.01921205222606659
872,quadrants,identity,spatial2_ttt,0.022744838148355484
872,quadrants,global_direct,spatial2_direct,0.022067800164222717
872,quadrants,global_direct,global_discrete,-0.0062360092997550964
872,quadrants,global_direct,spatial2_discrete,0.007950183004140854
872,quadrants,global_direct,global_ttt,0.01770329475402832
872,quadrants,global_direct,spatial2_ttt,0.021236080676317215
872,quadrants,spatial2_direct,global_discrete,-0.028303809463977814
872,quadrants,spatial2_direct,spatial2_discrete,-0.014117617160081863
872,quadrants,spatial2_direct,global_ttt,-0.004364505410194397
872,quadrants,spatial2_direct,spatial2_ttt,-0.0008317194879055023
872,quadrants,global_discrete,spatial2_discrete,0.01418619230389595
872,quadrants,global_discrete,global_ttt,0.023939304053783417
872,quadrants,global_discrete,spatial2_ttt,0.02747208997607231
872,quadrants,spatial2_discrete,global_ttt,0.009753111749887466
872,quadrants,spatial2_discrete,spatial2_ttt,0.013285897672176361
872,quadrants,global_ttt,spatial2_ttt,0.0035327859222888947
872,smooth_gradient,identity,global_direct,-0.0006375331431627274
872,smooth_gradient,identity,spatial2_direct,0.003638818860054016
872,smooth_gradient,identity,global_discrete,-0.04451945424079895
872,smooth_gradient,identity,spatial2_discrete,-0.040183696895837784
872,smooth_gradient,identity,global_ttt,-0.0362740233540535
872,smooth_gradient,identity,spatial2_ttt,0.0018946267664432526
872,smooth_gradient,global_direct,spatial2_direct,0.0042763520032167435
872,smooth_gradient,global_direct,global_discrete,-0.04388192109763622
872,smooth_gradient,global_direct,spatial2_discrete,-0.039546163752675056
